"WikiPlantaID"	"COL_NOTDECENVIR"	"FLO_NOTDEFLO"	"COL_VIRIGUA"	"COL_TIPDEAMO"	"HAB_HAB"	"FRU_NOTDEFRU"	"COL_AMO"	"COL_AMO_UNIT"	"COL_FER"	"COL_NOT"	"HAB_DAP"	"HAB_DAP_UNIT"	"COL_DAP"	"COL_DAP_UNIT"	"COL_ABU"	"IMA_FOLFACABA"	"IMA_EXS"	"IMA_FOLFACADA"
"2423"	"co"				"árvore"		"1"	"número"	"estéril"	"Espécie considerada rara nas campinaranas florestadas."
"2459"	"co"				"árvore"	"Presença de frutos em estado de maturação, Coloração dos frutos verde."	"2"	"número"	"frutos"	"Planta comum especialmente nas campinaranas florestadas e inundáveis. Tronco bem retilíneo e ritidoma com coloração escura fissurado."
"2733"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta comum nas campinaranas florestadas e inundáveis da grade PPBio/PARNA Viruá. Ritidoma levemente fissurado e coloraçao da casca-viva amarelada. Presença de envira."
"2926"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas estudadas."
"3052"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta comum nas campinaranas florestadas e inundáveis da grade PPBio/PARNA Viruá. Ritidoma levemente fissurado e coloraçao da casca-viva amarelada. Presença de envira. Pode alcançar o dossel florestal."
"3054"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundância restrita, pricipalmente nas campinaranas florestadas e inundáveis."
"3087"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Planta com abundância rara nas campinaranas e ocorre principalmente nas fisionomias florestadas e inundáveis."
"3184"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Planta comum principalmente no sub-bosque das campinaranas inundáveis do PARNA Viruá."
"3221"	"co"	"Inflorescência densa com flores de coloração amarelada."		"folhas em sílica"	"árvore"		"7"	"número"	"flores"	"Indivídio com altura aproximada de 12 metros (emergente), tronco escuro com casca viva avermelhada."
"3236"	"co"				"árvore"	"Presença de frutos na parte terminal dos ramos. Frutos imaturos de coloração esverdeada."	"4"	"número"	"frutos"	"Planta muito comum e com alta densidade de indivíduos nas campinaranas arborizadas e florestadas, principalmente indivíduos finos."
"3280"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"rvore nao muito comum nas campinaranas florestadas e arbustivas. Muitas vezes presente em campinaranas gramminosas como indivíduos arbóreos isolados."
"3283"	"co"			"folhas em sílica"	"árvore"	"Presença de frutos imaturos com coloração marrom-escuro."	"2"	"número"	"frutos"	"Planta com alta abundância nas campinaranas florestadas e inundáveis ocorrendo no estrato emergente do dossel. Ritidoma liso e levemente rugoso com alta densidade de lenticelas. Casca-viva com coloraçao rosada e branca."
"3292"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Espécie comum nas campinaranas florestadas e arbustivas sobre solos extremamente arenosos."
"3326"	"co"			"folhas em sílica"	"árvore"	"Frutos secos com coloração amarronzada."	"3"	"número"	"frutos"	"Indivíduo apresentando alto porte atingindo o estrato emergente. Ritidoma bem fissurado e coloração marrom avermelhada."
"3328"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Planta comum principalmente nas campinarnas florestadas inundáveis."
"3340"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta comum principalmente no sub-bosque das campinaranas florestadas."
"3414"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"rvore comum nas campinaranas florestadas. Difere do grupo de Micropholis sp. Porém pode ser a mesma espécie."
