"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"17928"	"1325"	"Fabaceae"	"Eperua"	"Eperua glabriflora"	"Parcela 19"	"0.7"	"22"	"93"	""	"Viva"	""
"17929"	"2515"	"Fabaceae"	"Inga"	"Inga"	"Parcela 19"	"0.4"	"26"	"99"	""	"Viva"	""
"17930"	"429"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 19"	"0"	"48.4"	"127"	""	"Viva"	""
"17945"	"547"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 18"	"0.8"	"10"	"60"	""	"Viva"	""
"17947"	"2514"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 13"	"0.1"	"7.8"	"68"	""	"Viva"	""
"17948"	"1474"	"Linaceae"	"Roucheria"	"Roucheria"	"Parcela 13"	"0.3"	"9.4"	"94; 40"	""	"Viva"	""
"17949"	"339"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 13"	"1"	"8.2"	"25"	""	"Viva"	""
"17950"	"1386"	"Clusiaceae"	"Calophyllum"	"Calophyllum"	"Parcela 13"	"1"	"16.8"	"80"	""	"Viva"	""
"17951"	"862"	"Icacinaceae"	""	"Icacinaceae"	"Parcela 13"	"0.7"	"17.4"	"80"	""	"Viva"	""
"17952"	"1864"	"Melastomataceae"	"Miconia"	"Miconia"	"Parcela 13"	"0.8"	"18.5"	"61"	""	"Viva"	""
"17953"	"155"	"Clusiaceae"	"Caraipa"	"Caraipa"	"Parcela 13"	"0"	"29.4"	"54"	""	"Viva"	""
"17954"	"1044"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 13"	"0.7"	"30.1"	"66"	""	"Viva"	""
"17955"	"1184"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 13"	"0.7"	"35.3"	"75"	""	"Viva"	""
"17956"	"2331"	"Sapotaceae"	"Pouteria"	"Pouteria"	"Parcela 13"	"0.5"	"40.1"	"27"	""	"Viva"	""
"17957"	"406"	"Malpighiaceae"	""	"Malpighiaceae"	"Parcela 13"	"0.8"	"39.9"	"45"	""	"Viva"	""
"17958"	"2435"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 13"	"0.9"	"40.6"	"27"	""	"Viva"	""
"17959"	"2538"	"Fabaceae"	"Ormosia"	"Ormosia"	"Parcela 13"	"1"	"45.6"	"49"	""	"Viva"	""
"17960"	"544"	"Fabaceae"	"Inga"	"Inga"	"Parcela 13"	"0.7"	"45.8"	"30"	""	"Viva"	""
