"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8150"	"Swartzia_8150"	"Fabaceae"	"Swartzia"	""	""	"Swartzia"	"EU872589"
"8173"	"_8173"	"Clusiaceae"	""	""	""	""	"EU872623"
"8203"	"Ppuberula_8203"	"Rubiaceae"	"Pagamea"	"puberula"	""	"Pagamea puberula"	"EU872664"
"8198"	"_8198"	"Poaceae"	""	""	""	""	"EU872653"
"8137"	"Bmacrocalyx_8137"	"Malvaceae"	"Bombacopsis"	"macrocalyx"	""	"Bombacopsis cf. macrocalyx"	"EU872573"
"8185"	"Pocculta_8185"	"Rubiaceae"	"Pagamea"	"occulta"	""	"Pagamea"	"EU872634"
"8187"	"Stenuis_8187"	"Eriocaulaceae"	"Syngonanthus"	"tenuis"	""	"Syngonanthus tenuis"	"EU872636"
"8215"	"Pplicatiformis_8215"	"Rubiaceae"	"Pagamea"	"plicatiformis"	""	"Pagamea plicatiformis"	"EU872676"
"8191"	"Csp-6_8191"	"Myrsinaceae"	"Cybianthus"	"sp.6"	""	"Cybianthus"	"EU872643"
"8139"	"Protium_8139"	"Burseraceae"	"Protium"	""	""	""	"EU872574"
"8140"	"Pguianensis_8140"	"Rubiaceae"	"Pagamea"	"guianensis"	""	"Pagamea guianensis"	"EU872576"
"8176"	"Pcalanense_8176"	"Burseraceae"	"Protium"	"calanense"	""	"Protium calanense"	"EU872626"
