"WikiPlantaID"	"PlantaTag"	"Family"	"Genus"	"Species"	"LocalPai"	"LocalPai_DIMx"	"LocalPai_DIMy"	"Local"	"Local_DIMx"	"Local_DIMy"	"Local_Startx"	"Local_Starty"	"PlantaPos_X"	"PlantaPos_Y"	"PlantaPos_LADO"	"TraitName"	"TraitVariation"	"TraitVariationUNIT"	"TraitVariationDATE"	"CensoNome"
"17833"	"2507"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.8"	"17.2"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17834"	"2133"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.9"	"23"	"D"	"DAP"	"35"	"mm"	"2016-04-17"	""
"17834"	"2133"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.9"	"23"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17835"	"1554"	"Vochysiaceae"	""	"Vochysiaceae"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.7"	"23"	"D"	"DAP"	"36"	"mm"	"2016-04-17"	""
"17835"	"1554"	"Vochysiaceae"	""	"Vochysiaceae"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.7"	"23"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17836"	"910"	"Euphorbiaceae"	"Hevea"	"Hevea"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.7"	"39.4"	"D"	"DAP"	"26"	"mm"	"2016-04-17"	""
"17836"	"910"	"Euphorbiaceae"	"Hevea"	"Hevea"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.7"	"39.4"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17837"	"2174"	"Chrysobalanaceae"	"Licania"	"Licania"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"39.8"	"D"	"DAP"	"31"	"mm"	"2016-04-17"	""
"17837"	"2174"	"Chrysobalanaceae"	"Licania"	"Licania"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"39.8"	"D"	"Altura"	"2"	"m"	"2016-04-17"	""
"17838"	"1207"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"42.5"	"D"	"DAP"	"27"	"mm"	"2016-04-17"	""
"17838"	"1207"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"42.5"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17839"	"502"	"Melastomataceae"	"Mouriri"	"Mouriri"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"45"	"D"	"DAP"	"34"	"mm"	"2016-04-17"	""
"17839"	"502"	"Melastomataceae"	"Mouriri"	"Mouriri"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.6"	"45"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17840"	"2426"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.9"	"4.6"	"E"	"DAP"	"34"	"mm"	"2016-04-17"	""
"17840"	"2426"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.9"	"4.6"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17841"	"2212"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.6"	"15.9"	"E"	"DAP"	"45"	"mm"	"2016-04-17"	""
"17841"	"2212"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.6"	"15.9"	"E"	"Altura"	"4"	"m"	"2016-04-17"	""
"17842"	"45"	"Chrysobalanaceae"	"Licania"	"Licania"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.7"	"19.7"	"E"	"DAP"	"31; 26"	"mm"	"2016-04-17"	""
"17842"	"45"	"Chrysobalanaceae"	"Licania"	"Licania"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.7"	"19.7"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17843"	"694"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.2"	"27.8"	"E"	"DAP"	"32"	"mm"	"2016-04-17"	""
"17843"	"694"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.2"	"27.8"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17844"	"642"	"Malvaceae"	"Pachira"	"Pachira"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.1"	"47"	"E"	"DAP"	"26"	"mm"	"2016-04-17"	""
"17844"	"642"	"Malvaceae"	"Pachira"	"Pachira"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.1"	"47"	"E"	"Altura"	"3"	"m"	"2016-04-17"	""
"17845"	"290"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.4"	"16.8"	"D"	"DAP"	"30"	"mm"	"2016-04-17"	""
"17845"	"290"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.4"	"16.8"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17846"	"1516"	"Arecaceae"	"Mauritiella"	"Mauritiella aculeata"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"17.7"	"D"	"DAP"	"32"	"mm"	"2016-04-17"	""
"17846"	"1516"	"Arecaceae"	"Mauritiella"	"Mauritiella aculeata"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"17.7"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17847"	"1551"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"27.8"	"D"	"DAP"	"62"	"mm"	"2016-04-17"	""
"17847"	"1551"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"27.8"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17848"	"706"	"Nyctaginaceae"	"Neea"	"Neea"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.8"	"31.6"	"D"	"DAP"	"26"	"mm"	"2016-04-17"	""
"17848"	"706"	"Nyctaginaceae"	"Neea"	"Neea"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.8"	"31.6"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17849"	"1792"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.7"	"36"	"D"	"DAP"	"25"	"mm"	"2016-04-17"	""
